topic,question,option1,option2,option3,option4,answer,difficulty,asked_in_this_session,got_right,tag
Physics,What is the SI unit of force?,Newton,Joule,Watt,Pascal,Newton,Easy,FALSE,FALSE,Physics-Mechanics
Physics,What is the acceleration due to gravity on Earth?,9.8 m/s²,10 m/s²,8.9 m/s²,11.2 m/s²,9.8 m/s²,Easy,FALSE,FALSE,Physics-Mechanics
Physics,What is Newton's First Law of Motion?,An object at rest stays at rest unless acted upon by an external force,Force equals mass times acceleration,For every action there is an equal and opposite reaction,Energy cannot be created or destroyed,An object at rest stays at rest unless acted upon by an external force,Easy,FALSE,FALSE,Physics-Mechanics
Physics,What is absolute zero in Celsius?,-273.15°C,-100°C,0°C,-459.67°F,-273.15°C,Easy,FALSE,FALSE,Physics-Thermodynamics
Physics,What is the speed of light in vacuum?,3×10⁸ m/s,3×10⁶ m/s,3×10⁹ m/s,3×10⁷ m/s,3×10⁸ m/s,Easy,FALSE,FALSE,Physics-Waves
Physics,What is the unit of electric current?,Ampere,Volt,Ohm,Watt,Ampere,Easy,FALSE,FALSE,Physics-Electricity
Physics,What is kinetic energy?,Energy of motion,Energy stored in position,Energy due to height,Energy in chemical bonds,Energy of motion,Easy,FALSE,FALSE,Physics-Mechanics
Physics,What happens when light passes from air into water?,It bends toward the normal,It bends away from the normal,It continues straight,It reflects completely,It bends toward the normal,Easy,FALSE,FALSE,Physics-Optics
Physics,What is a magnetic field?,A region around a magnet where magnetic forces act,A region where electric charges accumulate,A region of high temperature,A region of low pressure,A region around a magnet where magnetic forces act,Easy,FALSE,FALSE,Physics-Magnetism
Physics,What is the basic unit of matter?,Atom,Molecule,Cell,Element,Atom,Easy,FALSE,FALSE,Physics-Nuclear
Physics,What is friction?,Force that opposes motion,Force that causes motion,Force that increases speed,Force that decreases mass,Force that opposes motion,Easy,FALSE,FALSE,Physics-Mechanics
Physics,What is conduction?,Transfer of heat through direct contact,Transfer of heat through fluid movement,Transfer of heat through electromagnetic waves,Transfer of heat through chemical reactions,Transfer of heat through direct contact,Easy,FALSE,FALSE,Physics-Thermodynamics
Physics,What is sound?,A longitudinal wave that requires a medium,A transverse wave that can travel in vacuum,An electromagnetic wave,A standing wave,A longitudinal wave that requires a medium,Easy,FALSE,FALSE,Physics-Waves
Physics,What is resistance?,Opposition to electric current,Facilitation of electric current,Storage of electric charge,Generation of electricity,Opposition to electric current,Easy,FALSE,FALSE,Physics-Electricity
Physics,What is reflection?,Bouncing back of light from a surface,Bending of light through a medium,Splitting of light into colors,Absorption of light by a surface,Bouncing back of light from a surface,Easy,FALSE,FALSE,Physics-Optics
Physics,What is momentum?,Mass times velocity,Force times distance,Mass times acceleration,Energy times time,Mass times velocity,Easy,FALSE,FALSE,Physics-Mechanics
Physics,What is temperature?,Measure of average kinetic energy of particles,Measure of total energy of particles,Measure of mass of particles,Measure of number of particles,Measure of average kinetic energy of particles,Easy,FALSE,FALSE,Physics-Thermodynamics
Physics,What is frequency?,Number of waves per second,Height of a wave,Distance between wave crests,Speed of a wave,Number of waves per second,Easy,FALSE,FALSE,Physics-Waves
Physics,What is voltage?,Electric potential difference,Electric current flow,Electric resistance,Electric power,Electric potential difference,Easy,FALSE,FALSE,Physics-Electricity
Physics,What are magnetic poles?,Regions of strongest magnetic force,Regions of weakest magnetic force,Points where magnetic field is zero,Areas of no magnetic effect,Regions of strongest magnetic force,Easy,FALSE,FALSE,Physics-Magnetism
Physics,A 5 kg object is pushed with a force of 20 N. What is its acceleration?,4 m/s²,5 m/s²,10 m/s²,2 m/s²,4 m/s²,Medium,TRUE,FALSE,Physics-Mechanics
Physics,A ball is thrown upward with initial velocity 20 m/s. How high does it go?,20.4 m,40.8 m,10.2 m,30.6 m,20.4 m,Medium,TRUE,FALSE,Physics-Mechanics
Physics,How much heat is needed to raise the temperature of 2 kg of water from 20°C to 80°C?,504 kJ,1008 kJ,252 kJ,756 kJ,504 kJ,Medium,FALSE,FALSE,Physics-Thermodynamics
Physics,A wave has frequency 100 Hz and wavelength 2 m. What is its speed?,200 m/s,50 m/s,100 m/s,400 m/s,200 m/s,Medium,TRUE,FALSE,Physics-Waves
Physics,A 12 V battery is connected to a 4 Ω resistor. What is the current?,3 A,0.33 A,48 A,16 A,3 A,Medium,FALSE,FALSE,Physics-Electricity
Physics,"Light travels from air (n=1) to glass (n=1.5). If the angle of incidence is 30°, what is the angle of refraction?",19.5°,30°,45°,60°,19.5°,Medium,TRUE,FALSE,Physics-Optics
Physics,A 1000 kg car moving at 20 m/s brakes to a stop. What is the work done by friction?,-200 kJ,-400 kJ,-100 kJ,-20 kJ,-200 kJ,Medium,TRUE,FALSE,Physics-Mechanics
Physics,An ideal gas expands from 2 L to 5 L at constant pressure of 100 kPa. What work is done?,300 J,500 J,200 J,400 J,300 J,Medium,TRUE,FALSE,Physics-Thermodynamics
Physics,A string vibrates at 440 Hz. What is the period of vibration?,0.0023 s,0.0046 s,0.0011 s,0.0092 s,0.0023 s,Medium,FALSE,FALSE,Physics-Waves
Physics,Three 6 Ω resistors are connected in parallel. What is the equivalent resistance?,2 Ω,18 Ω,3 Ω,1 Ω,2 Ω,Medium,FALSE,FALSE,Physics-Electricity
Physics,A convex lens has focal length 10 cm. An object is placed 30 cm from the lens. Where is the image formed?,15 cm on the other side,30 cm on the other side,7.5 cm on the other side,20 cm on the other side,15 cm on the other side,Medium,FALSE,FALSE,Physics-Optics
Physics,A 2 kg object and 3 kg object are connected by a string over a pulley. What is the acceleration?,2 m/s²,1 m/s²,3 m/s²,4 m/s²,2 m/s²,Medium,TRUE,FALSE,Physics-Mechanics
Physics,A heat engine operates between 500 K and 300 K. What is its maximum efficiency?,40%,50%,60%,70%,40%,Medium,TRUE,FALSE,Physics-Thermodynamics
Physics,Two waves interfere constructively. Their amplitudes are 3 cm and 4 cm. What is the resultant amplitude?,7 cm,1 cm,5 cm,12 cm,7 cm,Medium,FALSE,FALSE,Physics-Waves
Physics,A capacitor of 10 μF is charged to 12 V. What is the stored energy?,0.72 mJ,1.44 mJ,0.36 mJ,2.88 mJ,0.72 mJ,Medium,FALSE,FALSE,Physics-Electricity
Physics,What is the critical angle for light traveling from water (n=1.33) to air?,48.8°,41.4°,90°,60°,48.8°,Medium,TRUE,FALSE,Physics-Optics
Physics,A satellite orbits Earth at altitude 2000 km. What is its orbital period?,2.2 hours,1.5 hours,3.0 hours,4.5 hours,2.2 hours,Medium,FALSE,FALSE,Physics-Mechanics
Physics,100 g of ice at 0°C melts to water at 0°C. How much heat is absorbed?,33.4 kJ,16.7 kJ,66.8 kJ,8.35 kJ,33.4 kJ,Medium,TRUE,FALSE,Physics-Thermodynamics
Physics,A standing wave has nodes 0.5 m apart. What is the wavelength?,1 m,0.5 m,2 m,0.25 m,1 m,Medium,FALSE,FALSE,Physics-Waves
Physics,A wire carries 5 A current in a 0.2 T magnetic field. What force per meter acts on the wire?,1 N/m,0.5 N/m,2 N/m,0.1 N/m,1 N/m,Medium,FALSE,FALSE,Physics-Electricity
Physics,A projectile is launched at 45° with initial speed 30 m/s from ground level. What is its maximum range?,91.8 m,45.9 m,183.6 m,22.9 m,91.8 m,Hard,FALSE,FALSE,Physics-Mechanics
Physics,A 10 kg block slides down a 30° incline with coefficient of friction 0.2. What is its acceleration?,3.2 m/s²,4.9 m/s²,1.6 m/s²,6.4 m/s²,3.2 m/s²,Hard,FALSE,FALSE,Physics-Mechanics
Physics,A Carnot engine operates between 600 K and 300 K with 1000 J input heat. What is the work output?,500 J,333 J,667 J,1000 J,500 J,Hard,FALSE,FALSE,Physics-Thermodynamics
Physics,"A source approaches a stationary observer at 30 m/s, emitting sound at 440 Hz. What frequency is heard? (v_sound = 340 m/s)",480 Hz,400 Hz,440 Hz,520 Hz,480 Hz,Hard,FALSE,FALSE,Physics-Waves
Physics,"A circuit has R=10Ω, L=0.1H, C=100μF in series with AC source of frequency 50 Hz. What is the impedance?",10.1 Ω,15.7 Ω,8.3 Ω,12.5 Ω,10.1 Ω,Hard,FALSE,FALSE,Physics-Electricity
Physics,"A double slit has separation 0.1 mm and screen distance 2 m. For light of wavelength 500 nm, what is the fringe spacing?",1 cm,0.5 cm,2 cm,0.1 cm,1 cm,Hard,FALSE,FALSE,Physics-Optics
Physics,A uniform rod of length 2 m and mass 5 kg is hinged at one end. What is its moment of inertia about the hinge?,6.67 kg·m²,3.33 kg·m²,10 kg·m²,20 kg·m²,6.67 kg·m²,Hard,FALSE,FALSE,Physics-Mechanics
Physics,2 moles of ideal gas expand isothermally at 300 K from 5 L to 10 L. What work is done?,3.46 kJ,1.73 kJ,6.92 kJ,0.865 kJ,3.46 kJ,Hard,FALSE,FALSE,Physics-Thermodynamics
Physics,A pipe closed at one end has fundamental frequency 256 Hz. What is its length? (v_sound = 340 m/s),0.33 m,0.66 m,0.17 m,1.32 m,0.33 m,Hard,FALSE,FALSE,Physics-Waves
Physics,"A solenoid has 1000 turns, length 0.1 m, radius 0.01 m. What is its inductance?",3.95 mH,7.90 mH,1.98 mH,15.8 mH,3.95 mH,Hard,FALSE,FALSE,Physics-Electricity
Physics,Light of wavelength 600 nm is incident on a diffraction grating with 500 lines/mm. What is the first-order diffraction angle?,17.5°,35.0°,8.7°,45.0°,17.5°,Hard,FALSE,FALSE,Physics-Optics
Physics,A satellite of mass 1000 kg orbits Earth at altitude 500 km. What is its orbital energy?,-2.9×10¹⁰ J,-5.8×10¹⁰ J,-1.45×10¹⁰ J,-11.6×10¹⁰ J,-2.9×10¹⁰ J,Hard,FALSE,FALSE,Physics-Mechanics
Physics,Steam at 100°C condenses to water at 100°C. How much heat is released per kg?,2.26 MJ,4.18 MJ,1.13 MJ,3.39 MJ,2.26 MJ,Hard,FALSE,FALSE,Physics-Thermodynamics
Physics,Two speakers emit sound at 1000 Hz and are 2 m apart. At what distance from one speaker is the first destructive interference point?,0.17 m,0.34 m,0.08 m,0.51 m,0.17 m,Hard,FALSE,FALSE,Physics-Waves
Physics,A 12 V battery with internal resistance 0.5Ω powers a 5.5Ω external resistor. What is the terminal voltage?,11 V,12 V,10 V,13 V,11 V,Hard,FALSE,FALSE,Physics-Electricity
Physics,A convex lens of focal length 15 cm forms a real image 30 cm from the lens. What is the magnification?,-1,-2,-0.5,-1.5,-1,Hard,FALSE,FALSE,Physics-Optics
Physics,A 2 kg object moving at 5 m/s collides elastically with a stationary 3 kg object. What is the final velocity of the 2 kg object?,-1 m/s,0 m/s,1 m/s,2 m/s,-1 m/s,Hard,FALSE,FALSE,Physics-Mechanics
Physics,A refrigerator removes 500 J from its cold compartment and rejects 700 J to the room. What is its coefficient of performance?,2.5,1.4,0.71,3.5,2.5,Hard,FALSE,FALSE,Physics-Thermodynamics
Physics,A wave on a string has amplitude 2 cm and frequency 50 Hz. What is the maximum particle velocity?,6.28 m/s,3.14 m/s,12.56 m/s,1.57 m/s,6.28 m/s,Hard,FALSE,FALSE,Physics-Waves
Physics,"A capacitor discharges through a resistor. If the time constant is 5 seconds, after how long is the charge 37% of initial?",5 s,2.5 s,10 s,1 s,5 s,Hard,FALSE,FALSE,Physics-Electricity
Chemistry,What is the atomic number of carbon?,6,12,14,8,6,Easy,FALSE,FALSE,Chemistry-Atomic Structure
Chemistry,What are the three subatomic particles?,"Protons, neutrons, electrons","Atoms, molecules, ions","Elements, compounds, mixtures","Acids, bases, salts","Protons, neutrons, electrons",Easy,FALSE,FALSE,Chemistry-Atomic Structure
Chemistry,"Which element is in Group 1, Period 1?",Hydrogen,Helium,Lithium,Sodium,Hydrogen,Easy,FALSE,FALSE,Chemistry-Periodic Table
Chemistry,What type of bond involves sharing electrons?,Covalent bond,Ionic bond,Metallic bond,Hydrogen bond,Covalent bond,Easy,FALSE,FALSE,Chemistry-Bonding
Chemistry,What is the process of gas to liquid called?,Condensation,Evaporation,Sublimation,Freezing,Condensation,Easy,FALSE,FALSE,Chemistry-States of Matter
Chemistry,What is the pH of pure water?,7,0,14,1,7,Easy,FALSE,FALSE,Chemistry-Acids and Bases
Chemistry,What is the chemical formula for water?,H₂O,HO,H₂O₂,OH,H₂O,Easy,FALSE,FALSE,Chemistry-Reactions
Chemistry,What is the simplest hydrocarbon?,Methane,Ethane,Propane,Butane,Methane,Easy,FALSE,FALSE,Chemistry-Organic Chemistry
Chemistry,What is a homogeneous mixture called?,Solution,Suspension,Colloid,Emulsion,Solution,Easy,FALSE,FALSE,Chemistry-Solutions
Chemistry,What is the measure of disorder in a system?,Entropy,Enthalpy,Free energy,Heat capacity,Entropy,Easy,FALSE,FALSE,Chemistry-Thermodynamics
Chemistry,What affects reaction rate?,"Temperature, concentration, surface area",Only temperature,Only concentration,Only surface area,"Temperature, concentration, surface area",Easy,FALSE,FALSE,Chemistry-Kinetics
Chemistry,"In a reversible reaction, when do we have equilibrium?",Forward and reverse rates are equal,All reactants are consumed,All products are formed,No reaction occurs,Forward and reverse rates are equal,Easy,FALSE,FALSE,Chemistry-Equilibrium
Chemistry,What flows in an electrolytic cell?,Ions,Electrons,Atoms,Molecules,Ions,Easy,FALSE,FALSE,Chemistry-Electrochemistry
Chemistry,What is emitted in alpha decay?,Helium nucleus,Electron,Positron,Neutron,Helium nucleus,Easy,FALSE,FALSE,Chemistry-Nuclear Chemistry
Chemistry,What gas contributes to global warming?,CO₂,O₂,N₂,H₂,CO₂,Easy,FALSE,FALSE,Chemistry-Environmental Chemistry
Chemistry,What is the main energy currency of cells?,ATP,DNA,RNA,Protein,ATP,Easy,FALSE,FALSE,Chemistry-Biochemistry
Chemistry,What is the Haber process used for?,Ammonia production,Sulfuric acid production,Petroleum refining,Steel production,Ammonia production,Easy,FALSE,FALSE,Chemistry-Industrial Chemistry
Chemistry,What technique separates mixtures based on polarity?,Chromatography,Distillation,Filtration,Crystallization,Chromatography,Easy,FALSE,FALSE,Chemistry-Analytical Chemistry
Chemistry,What is the central atom in a complex called?,Central metal ion,Ligand,Counter ion,Coordinating atom,Central metal ion,Easy,FALSE,FALSE,Chemistry-Coordination Chemistry
Chemistry,What are the four quantum numbers?,"n, l, m, s","x, y, z, t","a, b, c, d","α, β, γ, δ","n, l, m, s",Easy,FALSE,FALSE,Chemistry-Quantum Chemistry
Chemistry,What is the electron configuration of sodium?,1s²2s²2p⁶3s¹,1s²2s²2p⁶3s²,1s²2s²2p⁶,1s²2s²2p⁶3s¹3p¹,1s²2s²2p⁶3s¹,Medium,FALSE,FALSE,Chemistry-Atomic Structure
Chemistry,Which molecule has a trigonal planar geometry?,BF₃,H₂O,CH₄,NH₃,BF₃,Medium,FALSE,FALSE,Chemistry-Bonding
Chemistry,"If ΔH = -100 kJ and ΔS = -200 J/K at 300 K, is the reaction spontaneous?",No,Yes,Equilibrium,Cannot determine,No,Medium,FALSE,FALSE,Chemistry-Thermodynamics
Chemistry,"For the reaction N₂ + 3H₂ ⇌ 2NH₃, Kc = 0.5. If [N₂] = 0.1 M, [H₂] = 0.3 M, what is [NH₃]?",0.087 M,0.174 M,0.043 M,0.130 M,0.087 M,Medium,FALSE,FALSE,Chemistry-Equilibrium
Chemistry,A reaction has rate constant k = 0.01 s⁻¹. What is its half-life?,69.3 s,100 s,50 s,138.6 s,69.3 s,Medium,FALSE,FALSE,Chemistry-Kinetics
Chemistry,What is the pH of 0.01 M HCl solution?,2,1,3,4,2,Medium,FALSE,FALSE,Chemistry-Acids and Bases
Chemistry,How many grams of NaCl are needed to make 250 mL of 0.5 M solution?,7.3 g,14.6 g,3.65 g,29.2 g,7.3 g,Medium,FALSE,FALSE,Chemistry-Solutions
Chemistry,What is the IUPAC name for CH₃CH₂CH₂CH₃?,Butane,Propane,Ethane,Pentane,Butane,Medium,FALSE,FALSE,Chemistry-Organic Chemistry
Chemistry,"In the reaction 2Fe + 3Cu²⁺ → 2Fe³⁺ + 3Cu, what is oxidized?",Fe,Cu²⁺,Fe³⁺,Cu,Fe,Medium,FALSE,FALSE,Chemistry-Redox
Chemistry,"At STP, what volume does 2 moles of ideal gas occupy?",44.8 L,22.4 L,11.2 L,67.2 L,44.8 L,Medium,FALSE,FALSE,Chemistry-Gases
Chemistry,How much heat is needed to melt 100 g of ice at 0°C?,33.4 kJ,4.18 kJ,2.26 kJ,6.68 kJ,33.4 kJ,Medium,FALSE,FALSE,Chemistry-Thermodynamics
Chemistry,"For the equilibrium 2SO₂ + O₂ ⇌ 2SO₃, if pressure increases, what happens?",Shifts right,Shifts left,No change,Reaction stops,Shifts right,Medium,FALSE,FALSE,Chemistry-Equilibrium
Chemistry,"If temperature increases from 300 K to 310 K, by what factor does rate approximately double?",2,1.5,3,4,2,Medium,FALSE,FALSE,Chemistry-Kinetics
